127.0.0.1, 2017-07-22 00:05:53, GET, /, HTTP/1.1, 303, 0.000951
127.0.0.1, 2017-07-22 00:05:53, GET, /welcome/default/index, HTTP/1.1, 200, 0.240702
127.0.0.1, 2017-07-22 00:05:53, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000702
127.0.0.1, 2017-07-22 00:05:53, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.001078
127.0.0.1, 2017-07-22 00:05:53, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000374
127.0.0.1, 2017-07-22 00:05:53, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.002590
127.0.0.1, 2017-07-22 00:05:53, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000821
127.0.0.1, 2017-07-22 00:05:53, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.003420
127.0.0.1, 2017-07-22 00:05:53, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.002300
127.0.0.1, 2017-07-22 00:05:53, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000498
127.0.0.1, 2017-07-22 00:05:53, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000376
127.0.0.1, 2017-07-22 00:05:53, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.004851
127.0.0.1, 2017-07-22 00:05:53, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.000455
127.0.0.1, 2017-07-22 00:05:53, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000413
127.0.0.1, 2017-07-22 00:05:53, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000425
127.0.0.1, 2017-07-22 00:05:53, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000289
127.0.0.1, 2017-07-22 00:05:53, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001048
127.0.0.1, 2017-07-22 00:05:53, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000425
127.0.0.1, 2017-07-22 00:05:58, GET, /admin, HTTP/1.1, 200, 0.117113
127.0.0.1, 2017-07-22 00:05:58, GET, /admin/static/_2.15.2/js/calendar.js, HTTP/1.1, 200, 0.000400
127.0.0.1, 2017-07-22 00:05:58, GET, /admin/static/_2.15.2/css/calendar.css, HTTP/1.1, 200, 0.001404
127.0.0.1, 2017-07-22 00:05:58, GET, /admin/static/_2.15.2/js/jquery.js, HTTP/1.1, 200, 0.000451
127.0.0.1, 2017-07-22 00:05:58, GET, /admin/static/_2.15.2/js/web2py.js, HTTP/1.1, 200, 0.000445
127.0.0.1, 2017-07-22 00:05:58, GET, /admin/static/_2.15.2/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000884
127.0.0.1, 2017-07-22 00:05:58, GET, /admin/static/_2.15.2/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000613
127.0.0.1, 2017-07-22 00:05:58, GET, /admin/static/_2.15.2/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.002221
127.0.0.1, 2017-07-22 00:05:58, GET, /admin/static/_2.15.2/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000401
127.0.0.1, 2017-07-22 00:05:58, GET, /admin/static/_2.15.2/css/bootstrap.min.css, HTTP/1.1, 200, 0.000335
127.0.0.1, 2017-07-22 00:05:58, GET, /admin/static/_2.15.2/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000412
127.0.0.1, 2017-07-22 00:05:58, GET, /admin/static/_2.15.2/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000359
127.0.0.1, 2017-07-22 00:05:58, GET, /admin/static/_2.15.2/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.000451
127.0.0.1, 2017-07-22 00:05:58, GET, /admin/static/_2.15.2/js/bootstrap.min.js, HTTP/1.1, 200, 0.000434
127.0.0.1, 2017-07-22 00:05:58, GET, /admin/static/_2.15.2/images/questions.png, HTTP/1.1, 200, 0.000429
127.0.0.1, 2017-07-22 00:05:58, GET, /favicon.ico, HTTP/1.1, 400, 0.000344
127.0.0.1, 2017-07-22 00:06:00, POST, /admin/default/index, HTTP/1.1, 303, 0.016123
127.0.0.1, 2017-07-22 00:06:00, GET, /admin/default/site, HTTP/1.1, 200, 0.043109
127.0.0.1, 2017-07-22 00:06:00, GET, /admin/static/_2.15.2/images/folder.png, HTTP/1.1, 200, 0.000319
127.0.0.1, 2017-07-22 00:06:00, GET, /admin/static/_2.15.2/images/folder_locked.png, HTTP/1.1, 200, 0.000434
127.0.0.1, 2017-07-22 00:06:00, GET, /admin/static/_2.15.2/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000404
127.0.0.1, 2017-07-22 00:06:01, POST, /admin/default/check_version, HTTP/1.1, 200, 0.774949
127.0.0.1, 2017-07-22 00:06:02, GET, /favicon.ico, HTTP/1.1, 400, 0.000192
127.0.0.1, 2017-07-22 00:06:35, POST, /admin/default/site, HTTP/1.1, 303, 0.046183
127.0.0.1, 2017-07-22 00:06:35, GET, /admin/default/design/touch_pay_client, HTTP/1.1, 200, 0.135260
127.0.0.1, 2017-07-22 00:06:35, GET, /admin/static/_2.15.2/images/search.png, HTTP/1.1, 200, 0.000450
127.0.0.1, 2017-07-22 00:06:35, GET, /admin/static/_2.15.2/images/help.png, HTTP/1.1, 200, 0.000431
127.0.0.1, 2017-07-22 00:06:35, GET, /admin/static/_2.15.2/images/delete_icon.png, HTTP/1.1, 200, 0.000419
